name,copies,lists,status,oracle_first_80
"Spectacular Showdown",17,17,partial,"Put a double strike counter on target creature, then goad each creature that had"
"Grafted Exoskeleton",17,17,partial,"Equipped creature gets +2/+2 and has infect. (It deals damage to creatures in th"
"Winter Orb",17,17,partial,"As long as this artifact is untapped, players can't untap more than one land dur"
"Graveyard Trespasser // Graveyard Glutton",17,17,partial,"Ward—Discard a card. Whenever this creature enters or attacks, exile up to one t"
"Harmonic Sliver",17,17,partial,"All Slivers have ""When this permanent enters, destroy target artifact or enchant"
"The Fall of Lord Konda // Fragment of Konda",17,17,partial,"(As this Saga enters and after your draw step, add a lore counter.) I — Exile ta"
"Cybership",17,17,partial,"Flying Whenever this Vehicle deals combat damage to a player, put the top two ca"
"Blade Splicer",17,17,partial,"When this creature enters, create a 3/3 colorless Phyrexian Golem artifact creat"
"Galactus, Devourer of Worlds",17,17,partial,"Flying, trample, indestructible When Galactus enters, exile target permanent. In"
"Scarlet Spider, Ben Reilly",17,17,partial,"Web-slinging {R}{G} (You may cast this spell for {R}{G} if you also return a tap"
"Tragic Trajectory",17,17,partial,"Target creature gets -2/-2 until end of turn. Void — That creature gets -10/-10 "
"Reflector Mage",17,17,partial,"When this creature enters, return target creature an opponent controls to its ow"
"Koth, Fire of Resistance",17,17,partial,"+2: Search your library for a basic Mountain card, reveal it, put it into your h"
"Arachne, Psionic Weaver",17,17,partial,"Web-slinging {W} (You may cast this spell for {W} if you also return a tapped cr"
"Inquisitor's Flail",17,17,partial,"If equipped creature would deal combat damage, it deals double that damage inste"
"Jolted Awake",17,17,partial,"Choose up to one target artifact or creature card in your graveyard. You get {E}"
"Depopulate",17,17,partial,"Each player who controls a multicolored creature draws a card. Then destroy all "
"Blizzard Brawl",17,17,partial,"Choose target creature you control and target creature you don't control. If you"
"Fiendish Duo",17,17,partial,"First strike (This creature deals combat damage before creatures without first s"
"Iron Man, Bleeding Edge",17,17,partial,"Flying Whenever you cast an artifact spell, you may copy it, except the copy isn"
"Anzrag, the Quake-Mole",17,17,partial,"Whenever Anzrag becomes blocked, untap each creature you control. After this pha"
"Sliver Hivelord",17,17,partial,"Sliver creatures you control have indestructible. (Damage and effects that say """
"Slinn Voda, the Rising Deep",17,17,partial,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.) When Sl"
"Dress Down",17,17,partial,"Flash When this enchantment enters, draw a card. Creatures lose all abilities. A"
"Confounding Conundrum",17,17,partial,"When this enchantment enters, draw a card. Whenever a land an opponent controls "
"Reidane, God of the Worthy // Valkmira, Protector's Shield",17,17,partial,"Flying, vigilance Snow lands your opponents control enter tapped. Noncreature sp"
"Nine Lives",17,17,partial,"Hexproof If a source would deal damage to you, prevent that damage and put an in"
"Juggernaut Peddler",17,17,partial,"Vigilance When Juggernaut Peddler enters, target player reveals all nonland card"
"Rahilda, Wanted Cutthroat // Rahilda, Feral Outlaw",17,17,partial,"First strike When Rahilda, Wanted Cutthroat deals combat damage to a player, exi"
"Fearsome Whelp",17,17,partial,"Flying At the beginning of your end step, each Dragon card in your hand perpetua"
"Fandaniel, Telophoroi Ascian",16,16,partial,"Whenever you cast an instant or sorcery spell, surveil 1. At the beginning of yo"
"Collector Ouphe",16,16,partial,"Activated abilities of artifacts can't be activated."
"Moritte of the Frost",16,16,partial,"Changeling (This card is every creature type.) You may have Moritte enter as a c"
"Sarkhan the Masterless",16,16,partial,"Whenever a creature attacks you or a planeswalker you control, each Dragon you c"
"The First Sliver",16,16,partial,"Cascade (When you cast this spell, exile cards from the top of your library unti"
"Blood Seeker",16,16,partial,"Whenever a creature an opponent controls enters, you may have that player lose 1"
"Dance of the Dead",16,16,partial,"Enchant creature card in a graveyard When this Aura enters, if it's on the battl"
"The Rise of Sozin // Fire Lord Sozin",16,16,partial,"(As this Saga enters and after your draw step, add a lore counter.) I — Destroy "
"Devastating Onslaught",16,16,partial,"Create X tokens that are copies of target artifact or creature you control. Thos"
"Nicol Bolas, Dragon-God",16,16,partial,"Nicol Bolas has all loyalty abilities of all other planeswalkers on the battlefi"
"Archetype of Imagination",16,16,partial,"Creatures you control have flying. Creatures your opponents control lose flying "
"Planetary Annihilation",16,16,partial,"Each player chooses six lands they control, then sacrifices the rest. Planetary "
"Titania, Voice of Gaea",16,16,partial,"Reach Whenever one or more land cards are put into your graveyard from anywhere,"
"Pensive Professor",16,16,partial,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater"
"Clash of the Eikons",16,16,partial,"Choose one or more — • Target creature you control fights target creature an opp"
"Armored Skyhunter",16,16,partial,"Flying Whenever this creature attacks, look at the top six cards of your library"
"Crystal Fragments // Summon: Alexander",16,16,partial,"Equipped creature gets +1/+1. {5}{W}{W}: Exile this Equipment, then return it to"
"Tranquil Frillback",16,16,partial,"When this creature enters, you may pay {G} up to three times. When you pay this "
"Bond of Discipline",16,16,partial,"Tap all creatures your opponents control. Creatures you control gain lifelink un"
"Crashing Wave",16,16,partial,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbe"
"Procrastinate",16,16,partial,"Tap target creature. Put twice X stun counters on it. (If a permanent with a stu"
"Infectious Bite",16,16,partial,"Target creature you control deals damage equal to its power to target creature y"
"Incinerator of the Guilty",16,16,partial,"Flying, trample Whenever this creature deals combat damage to a player, you may "
"Heroic Feast",16,16,partial,"When this enchantment enters, create a Food token. (It's an artifact with ""{2}, "
"Restorative Technique",16,16,partial,"Target player gains 2 life, then searches their library for a basic land card, p"
"Chain of Smog",16,16,partial,"Target player discards two cards. That player may copy this spell and may choose"
"Merchant of Truth",16,16,partial,"Flying Whenever a nontoken creature you control dies, investigate. Clues you con"
"The Book of Exalted Deeds",16,16,partial,"At the beginning of your end step, if you gained 3 or more life this turn, creat"
"Josu Vess, Lich Knight",16,16,partial,"Kicker {5}{B} (You may pay an additional {5}{B} as you cast this spell.) Menace "
"Elusive Otter // Grove's Bounty",16,16,partial,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until e"
"Guardian Augmenter",16,16,partial,"Flash Commander creatures you control get +2/+2. Commanders you control have hex"
"Mass Manipulation",16,16,partial,"Gain control of X target creatures and/or planeswalkers."
"Zimone, Paradox Sculptor",16,16,partial,"At the beginning of combat on your turn, put a +1/+1 counter on each of up to tw"
"Excava, the Risen Past",16,16,partial,"Flying, haste Whenever Excava attacks, return up to one target artifact, creatur"
"Quintorius, Loremaster",16,16,partial,"Vigilance At the beginning of your end step, exile target noncreature, nonland c"
"Lich-Knights' Conquest",16,16,partial,"Sacrifice any number of artifacts, enchantments, and/or tokens. Return that many"
"Beorn the Fierce",16,16,partial,"Trample Other Bears you control get +2/+2. At the beginning of combat on your tu"
"April O'Neil, Live on the Scene",16,16,partial,"Whenever a Mutant, Ninja, or Turtle you control enters, investigate. (Create a C"
"Nelly Borca, Impulsive Accuser",16,16,partial,"Vigilance Whenever Nelly Borca attacks, suspect target creature. Then goad all s"
"Rule of Law",16,16,partial,"Each player can't cast more than one spell each turn."
"Cataclysmic Gearhulk",16,16,partial,"Vigilance When this creature enters, each player chooses an artifact, a creature"
"Ancient Adamantoise",16,16,partial,"Vigilance, ward {3} Damage isn't removed from this creature during cleanup steps"
"Ob Nixilis Reignited",16,16,partial,"+1: You draw a card and you lose 1 life. −3: Destroy target creature. −8: Target"
"Ink-Eyes, Servant of Oni",16,16,partial,"Ninjutsu {3}{B}{B} ({3}{B}{B}, Return an unblocked attacker you control to hand:"
"Damping Sphere",16,16,partial,"If a land is tapped for two or more mana, it produces {C} instead of any other t"
"Devourer of Destiny",16,16,partial,"You may reveal this card from your opening hand. If you do, at the beginning of "
"Treebeard, Gracious Host",16,16,partial,"Trample, ward {2} When Treebeard enters, create two Food tokens. Whenever you ga"
"Dragon's Rage Channeler",16,16,partial,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your "
"Thrumming Stone",16,16,partial,"Spells you cast have ripple 4. (Whenever you cast a spell, you may reveal the to"
"Keiga, the Tide Star",16,16,partial,"Flying When Keiga dies, gain control of target creature."
"Magmatic Hellkite",16,16,partial,"Flying When this creature enters, destroy target nonbasic land an opponent contr"
"Behold the Sinister Six!",16,16,partial,"Return up to six target creature cards with different names from your graveyard "
"North Pole Patrol",16,16,partial,"{T}: Untap another target permanent you control. Waterbend {3}, {T}: Tap target "
"Aether Gale",16,16,partial,"Return six target nonland permanents to their owners' hands."
"Desecrate Reality",16,16,partial,"For each opponent, exile up to one target permanent that player controls with an"
"Marchesa's Decree",16,16,partial,"When this enchantment enters, you become the monarch. Whenever a creature attack"
"The Akroan War",16,16,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Moonlit Meditation",16,16,partial,"Enchant artifact or creature you control The first time you would create one or "
"Robe of Stars",16,16,partial,"Equipped creature gets +0/+3. Astral Projection — {1}{W}: Equipped creature phas"
"Cynical Loner",16,16,partial,"This creature can't be blocked by Glimmers. Survival — At the beginning of your "
"Lonis, Cryptozoologist",16,16,partial,"Whenever another nontoken creature you control enters, investigate. {T}, Sacrifi"
"Boseiju Reaches Skyward // Branch of Boseiju",16,16,partial,"(As this Saga enters and after your draw step, add a lore counter.) I — Search y"
"Kiora Bests the Sea God",16,16,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Summon: Fat Chocobo",16,16,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Guidelight Matrix",16,16,partial,"When this artifact enters, draw a card. {2}, {T}: Target Mount you control becom"
"Spider-Man India",16,16,partial,"Web-slinging {1}{G}{W} (You may cast this spell for {1}{G}{W} if you also return"
"Bad Moon",16,16,partial,"Black creatures get +1/+1."
"Spell Queller",16,16,partial,"Flash Flying When this creature enters, exile target spell with mana value 4 or "
"Restricted Office // Lecture Hall",16,16,partial,"When you unlock this door, destroy all creatures with power 3 or greater. (You m"
"Crystalline Sliver",16,16,partial,"All Slivers have shroud. (They can't be the targets of spells or abilities.)"
"Kefnet's Monument",16,16,partial,"Blue creature spells you cast cost {1} less to cast. Whenever you cast a creatur"
"Agent of the Shadow Thieves",16,16,partial,"Commander creatures you own have ""Whenever this creature attacks a player, if no"
"Banefire",16,16,partial,"Banefire deals X damage to any target. If X is 5 or more, this spell can't be co"
"Defiler of Instinct",16,16,partial,"First strike As an additional cost to cast red permanent spells, you may pay 2 l"
"Nesting Bot",16,16,partial,"Start your engines! (If you have no speed, it starts at 1. It increases once on "
"Anointed Peacekeeper",16,16,partial,"Vigilance As this creature enters, look at an opponent's hand, then choose any c"
"Song of Seasons",16,16,partial,"Seek a Mountain card, a Forest card, and a non-Mountain, non-Forest land card. P"
"Agent of Raffine",16,16,partial,"{2}, {T}: Choose target opponent. Conjure a duplicate of the top card of their l"
"Terrors of the Track",16,16,partial,"Flying Double team Whenever this creature or another creature dies, each opponen"
"A-Nezumi Prowler",16,16,partial,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put t"
"A-Minsc & Boo, Timeless Heroes",16,16,partial,"When Minsc & Boo, Timeless Heroes enters and at the beginning of your upkeep, if"
"Keen Duelist",15,15,partial,"At the beginning of your upkeep, you and target opponent each reveal the top car"
"Strategic Betrayal",15,15,partial,"Target opponent exiles a creature they control and their graveyard."
"Gorma, the Gullet",15,15,partial,"Lifelink Whenever another creature you control dies, put a +1/+1 counter on Gorm"
"Black Sun's Twilight",15,15,partial,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, retur"
"Roiling Dragonstorm",15,15,partial,"When this enchantment enters, draw two cards, then discard a card. When a Dragon"
"Bladewing the Risen",15,15,partial,"Flying When Bladewing enters, you may return target Dragon permanent card from y"
"Yuriko, the Tiger's Shadow",15,15,partial,"Commander ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to h"
"Geode Golem",15,15,partial,"Trample Whenever this creature deals combat damage to a player, you may cast you"
"Sorin of House Markov // Sorin, Ravenous Neonate",15,15,partial,"Lifelink Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each o"
"Champion of Dusk",15,15,partial,"When this creature enters, you draw X cards and you lose X life, where X is the "
"Jeweled Amulet",15,15,partial,"{1}, {T}: Put a charge counter on this artifact. Note the type of mana spent to "
"Dictate of the Twin Gods",15,15,partial,"Flash If a source would deal damage to a permanent or player, it deals double th"
"Overmaster",15,15,partial,"The next instant or sorcery spell you cast this turn can't be countered. Draw a "
"Prologue to Phyresis",15,15,partial,"Each opponent gets a poison counter. Draw a card."
"Goblin Rabblemaster",15,15,partial,"Other Goblin creatures you control attack each combat if able. At the beginning "
"Sauron, the Necromancer",15,15,partial,"Menace Whenever Sauron attacks, exile target creature card from your graveyard. "
"Bilbo, Luckwearer // Burglar's Plot",15,15,partial,"Bilbo can't be blocked. Whenever Bilbo deals combat damage to a player, draw a c"
"Summon: Kujata",15,15,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Akiri, Fearless Voyager",15,15,partial,"Whenever you attack a player with one or more equipped creatures, draw a card. {"
"Hunting Velociraptor",15,15,partial,"First strike Dinosaur spells you cast have prowl {2}{R}. (You may cast a spell f"
"Vorel of the Hull Clade",15,15,partial,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creat"
"Olórin's Searing Light",15,15,partial,"Each opponent exiles a creature with the greatest power among creatures that pla"
"Deadpool, Trading Card",15,15,partial,"As Deadpool enters, you may exchange his text box and another creature's. At the"
"Shielded by Faith",15,15,partial,"Enchant creature Enchanted creature has indestructible. Whenever a creature ente"
"Combat Calligrapher",15,15,partial,"Flying Inklings can't attack you or planeswalkers you control. Whenever a player"
"Tevesh Szat, Doom of Fools",15,15,partial,"+2: Create two 0/1 black Thrull creature tokens. +1: You may sacrifice another c"
"Tyvar the Bellicose",15,15,partial,"Whenever one or more Elves you control attack, they gain deathtouch until end of"
"Alandra, Sky Dreamer",15,15,partial,"Whenever you draw your second card each turn, create a 2/2 blue Drake creature t"
"Deification",15,15,partial,"As this enchantment enters, choose a planeswalker type. Planeswalkers you contro"
"Oft-Nabbed Goat",15,15,partial,"{1}: Draw a card. Gain control of this creature and put a -1/-1 counter on it. O"
"Persistent Constrictor",15,15,partial,"At the beginning of each opponent's upkeep, they lose 1 life and you put a -1/-1"
"Doom Reigns Supreme",15,15,partial,"Whenever a Villain you control enters, each opponent loses 1 life and you gain 1"
"Fblthp, Lost on the Range",15,15,partial,"Ward {2} You may look at the top card of your library any time. The top card of "
"Murkfiend Liege",15,15,partial,"Other green creatures you control get +1/+1. Other blue creatures you control ge"
"Gideon, Ally of Zendikar",15,15,partial,"+1: Until end of turn, Gideon becomes a 5/5 Human Soldier Ally creature with ind"
"Celes, Rune Knight",15,15,partial,"When Celes enters, discard any number of cards, then draw that many cards plus o"
"Hawkeye, Young Avenger",15,15,partial,"Reach If a source you control would deal noncombat damage to an opponent or a pe"
"Star Athlete",15,15,partial,"Menace Whenever this creature attacks, choose up to one target nonland permanent"
"Thousand-Faced Shadow",15,15,partial,"Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand:"
"Nashi, Moon Sage's Scion",15,15,partial,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put t"
"Mirror March",15,15,partial,"Whenever a nontoken creature you control enters, flip a coin until you lose a fl"
"Prosperous Bandit",15,15,partial,"Offspring {1} (You may pay an additional {1} as you cast this spell. If you do, "
"Trinisphere",15,15,partial,"As long as this artifact is untapped, each spell that would cost less than three"
"Selective Obliteration",15,15,partial,"Each player chooses a color. Then exile each permanent unless it's colorless or "
"Disciple of the Vault",15,15,partial,"Whenever an artifact is put into a graveyard from the battlefield, you may have "
"Generous Ent",15,15,partial,"Reach When this creature enters, create a Food token. (It's an artifact with ""{2"
"Storm of Souls",15,15,partial,"Return all creature cards from your graveyard to the battlefield. Each of them i"
"Creative Technique",15,15,partial,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opp"
"Racers' Scoreboard",15,15,partial,"Start your engines! (If you have no speed, it starts at 1. It increases once on "
"Dack Fayden",15,15,partial,"+1: Target player draws two cards, then discards two cards. −2: Gain control of "
"Toph, the First Metalbender",15,15,partial,"Nontoken artifacts you control are lands in addition to their other types. (They"
"Aang, Airbending Master",15,15,partial,"When Aang enters, airbend another target creature. (Exile it. While it's exiled,"
"Waterbender's Restoration",15,15,partial,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbe"
"Druid of Purification",15,15,partial,"When this creature enters, starting with you, each player may choose an artifact"
"Virtus the Veiled",15,15,partial,"Partner with Gorm the Great (When this creature enters, target player may put Go"
"Cyberman Patrol",15,15,partial,"Artifact creatures you control have afflict 3. (Whenever a creature with afflict"
"Buried in the Garden",15,15,partial,"Enchant land When this Aura enters, exile target nonland permanent you don't con"
"Berserk",15,15,partial,"Cast this spell only before the combat damage step. Target creature gains trampl"
"Treasure Chest",15,15,partial,"{4}, Sacrifice this artifact: Roll a d20. 1 | Trapped! — You lose 3 life. 2—9 | "
"Clown Car",15,15,partial,"When this Vehicle enters, roll X six-sided dice. For each odd result, create a 1"
"Heartstone",15,15,partial,"Activated abilities of creatures cost {1} less to activate. This effect can't re"
"Sword of the Meek",15,15,partial,"Equipped creature gets +1/+2. Equip {2} Whenever a 1/1 creature you control ente"
"Urza, Lord Protector",15,15,partial,"Artifact, instant, and sorcery spells you cast cost {1} less to cast. {7}: If yo"
"Another Round",15,15,partial,"Exile any number of creatures you control, then return them to the battlefield u"
"Astarion's Thirst",15,15,partial,"Exile target creature. Put X +1/+1 counters on a commander creature you control,"
"Scrabbling Claws",15,15,partial,"{T}: Target player exiles a card from their graveyard. {1}, Sacrifice this artif"
"Lurrus of the Dream-Den",15,15,partial,"Companion — Each permanent card in your starting deck has mana value 2 or less. "
"Tithe Taker",15,15,partial,"During your turn, spells your opponents cast cost {1} more to cast and abilities"
"Elvish Clancaller",15,15,partial,"Other Elves you control get +1/+1. {4}{G}{G}, {T}: Search your library for a car"
"Lavabelly Sliver",15,15,partial,"Sliver creatures you control have ""When this creature enters, it deals 1 damage "
"The Kami War // O-Kagachi Made Manifest",15,15,partial,"(As this Saga enters and after your draw step, add a lore counter.) I — Exile ta"
"Zur, Eternal Schemer",15,15,partial,"Flying Enchantment creatures you control have deathtouch, lifelink, and hexproof"
"Knight Paladin",15,15,partial,"Trample Rapid-fire Battle Cannon — When this Vehicle enters, it deals 4 damage t"
"Yorion, Sky Nomad",15,15,partial,"Companion — Your starting deck contains at least twenty cards more than the mini"
"Zero Point Ballad",15,15,partial,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or mo"
"Miles Morales // Ultimate Spider-Man",15,15,partial,"When Miles Morales enters, put a +1/+1 counter on each of up to two target creat"
"Silk, Web Weaver",15,15,partial,"Web-slinging {1}{G}{W} (You may cast this spell for {1}{G}{W} if you also return"
"Spider-Man, Web-Slinger",15,15,partial,"Web-slinging {W} (You may cast this spell for {W} if you also return a tapped cr"
"Hot Pursuit",15,15,partial,"When this enchantment enters, suspect target creature an opponent controls. As l"
"Geode Rager",15,15,partial,"First strike Landfall — Whenever a land you control enters, goad each creature t"
"Petrify",15,15,partial,"Enchant artifact or creature Enchanted permanent can't attack or block, and its "
"Galerider Sliver",15,15,partial,"Sliver creatures you control have flying."
"The Princess Takes Flight",15,15,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Jace, the Perfected Mind",15,15,partial,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planesw"
"Case of the Stashed Skeleton",15,15,partial,"When this Case enters, create a 2/1 black Skeleton creature token and suspect it"
"Analyze the Pollen",15,15,partial,"As an additional cost to cast this spell, you may collect evidence 8. (Exile car"
"Speedbrood Stalker",15,15,partial,"Flying, Lifelink When this creature enters, choose target opponent. Secretly cho"
"Kitesail Freebooter",15,15,partial,"Flying When this creature enters, target opponent reveals their hand. You choose"
"Sanguine Soothsayer",15,15,partial,"Flying, lifelink Whenever this creature attacks, conjure a card named Sanguine B"
"Jet Collector",15,15,partial,"At the beginning of your second main phase, if four or more cards are in your gr"
"Mephit's Enthusiasm",15,15,partial,"This sorcery deals 4 damage to target creature or planeswalker. If excess damage"
"Kari Zev, Crew of Two",15,15,partial,"Menace, Haste Whenever Kari Zev attacks while you don't control a legendary Monk"
"Hangarback Assembler",15,15,partial,"Start your engines! When this artifact enters, conjure a card named Hangarback W"
"Chitinous Crawler",15,15,partial,"At the beginning of combat on your turn, choose target creature card in your gra"
"Debt to the Deathless",14,14,partial,"Each opponent loses two times X life. You gain life equal to the life lost this "
"Mnemonic Betrayal",14,14,partial,"Exile all opponents' graveyards. You may cast spells from among those cards this"
"Profane Command",14,14,partial,"Choose two — • Target player loses X life. • Return target creature card with ma"
"Leyline of Transformation",14,14,partial,"If this card is in your opening hand, you may begin the game with it on the batt"
"Coalition Relic",14,14,partial,"{T}: Add one mana of any color. {T}: Put a charge counter on this artifact. At t"
"Scaled Nurturer",14,14,partial,"{T}: Add {G}. When you spend this mana to cast a Dragon creature spell, you gain"
"Edgar, Charmed Groom // Edgar Markov's Coffin",14,14,partial,"Other Vampires you control get +1/+1. When Edgar dies, return it to the battlefi"
"New Blood",14,14,partial,"As an additional cost to cast this spell, tap an untapped Vampire you control. G"
"Ty Lee, Chi Blocker",14,14,partial,"Flash Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 u"
"Zuko, Firebending Master",14,14,partial,"First strike Firebending X, where X is the number of experience counters you hav"
"Iroh, Dragon of the West",14,14,partial,"Haste Mentor (Whenever this creature attacks, put a +1/+1 counter on target atta"
"Gleaming Overseer",14,14,partial,"When this creature enters, amass Zombies 1. (Put a +1/+1 counter on an Army you "
"Burning-Rune Demon",14,14,partial,"Flying When this creature enters, you may search your library for exactly two ca"
"Timetwister",14,14,partial,"Each player shuffles their hand and graveyard into their library, then draws sev"
"Nature's Will",14,14,partial,"Whenever one or more creatures you control deal combat damage to a player, tap a"
"Rush of Dread",14,14,partial,"Spree (Choose one or more additional costs.) + {1} — Target opponent sacrifices "
"Font of Mythos",14,14,partial,"At the beginning of each player's draw step, that player draws two additional ca"
"Ardenn, Intrepid Archaeologist",14,14,partial,"At the beginning of combat on your turn, you may attach any number of Auras and "
"Masterwork of Ingenuity",14,14,partial,"You may have this Equipment enter as a copy of any Equipment on the battlefield."
"Prishe's Wanderings",14,14,partial,"Search your library for a basic land card or Town card, put it onto the battlefi"
"Bronzebeak Foragers",14,14,partial,"When this creature enters, for each opponent, exile up to one target nonland per"
"Kindred Summons",14,14,partial,"Choose a creature type. Reveal cards from the top of your library until you reve"
"Haunting Voyage",14,14,partial,"Choose a creature type. Return up to two creature cards of that type from your g"
"Sower of Discord",14,14,partial,"Flying As this creature enters, choose two players. Whenever damage is dealt to "
"Angel of Jubilation",14,14,partial,"Flying Other nonblack creatures you control get +1/+1. Players can't pay life or"
"Canopy Gargantuan",14,14,partial,"Flying, ward {2} At the beginning of your upkeep, put a number of +1/+1 counters"
"Gruff Triplets",14,14,partial,"Trample When this creature enters, if it isn't a token, create two tokens that a"
"Elegy Acolyte",14,14,partial,"Lifelink Whenever one or more creatures you control deal combat damage to a play"
"Hushbringer",14,14,partial,"Flying, lifelink Creatures entering or dying don't cause abilities to trigger."
"Altar of the Wretched // Wretched Bonemass",14,14,partial,"When this artifact enters, you may sacrifice a nontoken creature. If you do, dra"
"Sphinx's Tutelage",14,14,partial,"Whenever you draw a card, target opponent mills two cards. If two nonland cards "
"Vault 12: The Necropolis",14,14,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Scriv, the Obligator",14,14,partial,"Flying, deathtouch Whenever Scriv enters or attacks, create a white Aura enchant"
"Serra the Benevolent",14,14,partial,"+2: Creatures you control with flying get +1/+1 until end of turn. −3: Create a "
"Everybody Lives!",14,14,partial,"All creatures gain hexproof and indestructible until end of turn. Players gain h"
"Epic Fight",14,14,partial,"Choose one or both — • Double target creature's power and toughness until end of"
"Celeborn the Wise",14,14,partial,"Whenever you attack with one or more Elves, scry 1. Whenever you scry, Celeborn "
"Prowler's Helm",14,14,partial,"Equipped creature can't be blocked except by Walls. Equip {2}"
"Entrancing Melody",14,14,partial,"Gain control of target creature with mana value X."
"Blitzball Stadium",14,14,partial,"When this artifact enters, support X. (Put a +1/+1 counter on each of up to X ta"
"Spiteful Visions",14,14,partial,"At the beginning of each player's draw step, that player draws an additional car"
"Dissection Tools",14,14,partial,"When this Equipment enters, manifest dread, then attach this Equipment to that c"
"Fiend Hunter",14,14,partial,"When this creature enters, you may exile another target creature. When this crea"
"Aberrant Return",14,14,partial,"Put one, two, or three target creature cards from graveyards onto the battlefiel"
"Peter Parker // Amazing Spider-Man",14,14,partial,"When Peter Parker enters, create a 2/1 green Spider creature token with reach. {"
"Invasion of Fiora // Marchesa, Resolute Monarch",14,14,partial,"(As a Siege enters, choose an opponent to protect it. You and others can attack "
"Swarmyard Massacre",14,14,partial,"Create two 1/1 green Squirrel creature tokens. Then each creature that isn't an "
"The Weatherseed Treaty",14,14,partial,"Read ahead (Choose a chapter and start with that many lore counters. Add one aft"
"Tromokratis",14,14,partial,"Tromokratis has hexproof unless it's attacking or blocking. Tromokratis can't be"
"Sam, Loyal Attendant",14,14,partial,"Partner with Frodo, Adventurous Hobbit (When this creature enters, target player"
"Thalia and The Gitrog Monster",14,14,partial,"First strike, deathtouch You may play an additional land on each of your turns. "
"Revenge of Ravens",14,14,partial,"Whenever a creature attacks you or a planeswalker you control, that creature's c"
"Stonespeaker Crystal",14,14,partial,"{T}: Add {C}{C}. {2}, {T}, Sacrifice this artifact: Exile any number of target p"
"Mishra, Claimed by Gix",14,14,partial,"Whenever you attack, each opponent loses X life and you gain X life, where X is "
"Captain America, Super-Soldier",14,14,partial,"First strike Captain America enters with a shield counter on him. (If he would b"
"Daughter of the Deep",14,14,partial,"Whenever you draw your second card each turn, create a 1/1 blue Merfolk creature"
"Forbidden Friendship",14,14,partial,"Create a 1/1 red Dinosaur creature token with haste and a 1/1 white Human Soldie"
"Beacon of Immortality",14,14,partial,"Double target player's life total. Shuffle Beacon of Immortality into its owner'"
"Quandrix, the Proof",14,14,partial,"Flying, trample Cascade (When you cast this spell, exile cards from the top of y"
"Loki's Scepter",14,14,partial,"When Loki's Scepter enters, gain control of target creature until end of turn. U"
"Puppet Master, String Puller",14,14,partial,"Whenever you attack, goad target creature an opponent controls. It can't block t"
"Orthion, Hero of Lavabrink",14,14,partial,"{1}{R}, {T}: Create a token that's a copy of another target creature you control"
"Invasion of Tarkir // Defiant Thundermaw",14,14,partial,"(As a Siege enters, choose an opponent to protect it. You and others can attack "
"Prismatic Undercurrents",14,14,partial,"Vivid — When this enchantment enters, search your library for up to X basic land"
"Sphinx of the Second Sun",14,14,partial,"Flying At the beginning of each of your postcombat main phases, there is an addi"
"Yasharn, Implacable Earth",14,14,partial,"When Yasharn enters, search your library for a basic Forest card and a basic Pla"
"Vastlands Scavenger // Bind to Life",14,14,partial,"Deathtouch This creature enters prepared. (While it's prepared, you may cast a c"
"World at War",14,14,partial,"After the second main phase this turn, there's an additional combat phase follow"
"Scryb Ranger",14,14,partial,"Flash Flying, protection from blue Return a Forest you control to its owner's ha"
"Mirrorform",14,14,partial,"Each nonland permanent you control becomes a copy of target non-Aura permanent."
"Symbiote Spider-Man",14,14,partial,"Whenever this creature deals combat damage to a player, look at that many cards "
"Metalworker",14,14,partial,"{T}: Reveal any number of artifact cards in your hand. Add {C}{C} for each card "
"Mycosynth Golem",14,14,partial,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you "
"Yes Man, Personal Securitron",14,14,partial,"{T}: Target opponent gains control of Yes Man. When they do, you draw two cards "
"Shadow of the Second Sun",14,14,partial,"Enchant player At the beginning of each of enchanted player's postcombat main ph"
